Nome o identificativo;Indirizzo;Mq;Attrezzato;Note
Parco pubblico Villa Venier;Via Due Giugno, Sommacampagna;;No;
Parco Baleno;Via Don Bogoni, Caselle;;Sì;
Parco della Bissara;Via Scuole, Caselle;;Sì;verificare nome
Parco Caprioli;Viale del Lavoro, Sommacampagna;;Sì;
Parco Giochi Monte Molin;Via Orione, Sommacampagna;;Sì;
Giardini di Piazza della Repubblica;P.zza della Repubblica, Sommacampagna ;;Sì;
Parco pubblico;Via Don Silvio Tramonte;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
